16:13:17.817 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
16:13:17.893 INFO  [main] c.l.project.ProjectApplication - Starting ProjectApplication using Java 21 with PID 24508 (C:\2440540\JFS Training Project\Library-Management\target\classes started by 2440540 in C:\2440540\JFS Training Project\Library-Management)
16:13:17.893 DEBUG [main] c.l.project.ProjectApplication - Running with Spring Boot v3.3.1, Spring v6.1.10
16:13:17.893 INFO  [main] c.l.project.ProjectApplication - No active profile set, falling back to 1 default profile: "default"
16:13:19.394 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:13:19.494 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 90 ms. Found 12 JPA repository interfaces.
16:13:20.621 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
16:13:20.653 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:13:20.657 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
16:13:20.657 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
16:13:20.766 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:13:20.766 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2798 ms
16:13:21.176 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:13:21.319 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
16:13:21.399 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
16:13:21.797 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16:13:21.835 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:13:22.382 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@cea67b1
16:13:22.382 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:13:22.460 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
16:13:23.847 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:13:25.769 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:13:26.575 INFO  [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
